Ticker,Pair Ticker,Mape Value,MAPE_Diff,Pair Mape
ADI,ANET,2.343397302791083,0.33398350833438073,2.6773808111254636
TER,HPQ,2.888012907444673,0.21033414026051211,2.677678767184161
QCOM,JNPR,2.879957102643751,0.20105190425425867,2.6789051983894923
KLAC,INTU,3.139092882517129,0.45737467377006613,2.681718208747063
INTC,FICO,10.603815942928815,7.921544716299346,2.6822712266294695
GEN,AMAT,5.8771104142912725,3.1947286412565963,2.682381773034676
FSLR,JNPR,2.7552572761676277,0.07275042752194905,2.6825068486456787
INTC,HPQ,10.603815942928815,7.918892847238009,2.6849230956908055
AKAM,CDNS,6.020539805294995,3.3350153020910454,2.68552450320395
STX,JBL,3.8927785927274203,1.2061726818808065,2.686605910846614
FICO,MCHP,1.9505316636986891,0.7377126700609611,2.68824433375965
FSLR,ANET,2.7552572761676277,0.06465564037977334,2.6906016357878544
ANET,ON,3.05937788558553,0.3664870130184448,2.692890872567085
NXPI,GLW,2.714324428404252,0.020425697507679974,2.693898730896572
TDY,FSLR,1.9285592249609154,0.7655568546754734,2.6941160796363888
LRCX,FFIV,4.4820117951848415,1.7868891354682312,2.6951226597166102
TER,AVGO,2.888012907444673,0.19229618379656221,2.6957167236481108
NVDA,FFIV,9.278195063579165,6.581863321946718,2.6963317416324464
TEL,KLAC,2.173030530303121,0.5261814511888923,2.6992119814920135
NOW,FSLR,2.797180042416524,0.09655201479434039,2.7006280276221837
AKAM,TDY,6.020539805294995,3.314551543991937,2.7059882613030584
AMAT,ANET,2.489585993914365,0.2175388094024191,2.707124803316784
IBM,CTSH,1.6738788607153636,1.0340143518010496,2.7078932125164132
ENPH,NTAP,7.447449492364927,4.739178998648443,2.7082704937164843
INTC,AVGO,10.603815942928815,7.8955042251581045,2.70831171777071
AMAT,FSLR,2.489585993914365,0.21906450977979608,2.708650503694161
NOW,CTSH,2.797180042416524,0.08806972464951146,2.7091103177670126
TRMB,IBM,3.7158311433298037,1.0062590951199368,2.709572048209867
ENPH,HPE,7.447449492364927,4.73695716251573,2.710492329849197
QCOM,TRMB,2.879957102643751,0.16780461972568306,2.712152482918068
QCOM,CTSH,2.879957102643751,0.16724688970558343,2.7127102129381675
AMAT,MCHP,2.489585993914365,0.22320336567484134,2.7127893595892063
CDNS,LRCX,1.9784859134689878,0.7344005140065348,2.7128864274755227
MCHP,INTU,2.4409641619121225,0.2722403374973532,2.7132044994094757
ENPH,NVDA,7.447449492364927,4.734062581615898,2.7133869107490294
SNPS,TRMB,2.092444045885829,0.6211676066948204,2.7136116525806493
GEN,ORCL,5.8771104142912725,3.1630135842971843,2.714096829994088
AKAM,AAPL,6.020539805294995,3.3063164532867004,2.714223352008295
HPE,GLW,2.706802757293325,0.007751608457482462,2.7145543657508076
SNPS,LRCX,2.092444045885829,0.6222289616961936,2.7146730075820225
TRMB,NTAP,3.7158311433298037,1.0002342779088185,2.715596865420985
FICO,NVDA,1.9505316636986891,0.7651580696822329,2.715689733380922
CDNS,TXN,1.9784859134689878,0.7388078478295623,2.71729376129855
GLW,JBL,3.0980904176886708,0.3772116632735685,2.7208787544151023
PTC,CTSH,1.5641341556798805,1.1573063187345742,2.7214404744144547
MSFT,FSLR,2.0662763518381646,0.6554237043365028,2.7217000561746674
STX,MSI,3.8927785927274203,1.1705231755769527,2.7222554171504676
INTC,MSFT,10.603815942928815,7.881068812905357,2.722747130023458
HPQ,KEYS,2.129533095192412,0.5940608971299159,2.723593992322328
STX,NTAP,3.8927785927274203,1.1691014589359905,2.72367713379143
TDY,CTSH,1.9285592249609154,0.7959121874481487,2.724471412409064
TRMB,ACN,3.7158311433298037,0.9901746447177606,2.725656498612043
CSCO,ADI,2.759847509248003,0.03340214339378811,2.726445365854215
ADI,JNPR,2.343397302791083,0.38406104490575554,2.7274583476968384
CDW,LRCX,1.9741935302225542,0.7535398102691915,2.7277333404917457
INTC,ACN,10.603815942928815,7.8751466778293056,2.7286692650995095
ACN,NOW,1.9468629142206837,0.7823760652281939,2.7292389794488776
TXN,PTC,3.585529555269941,0.8559833388521576,2.7295462164177833
TDY,KEYS,1.9285592249609154,0.8011902621232199,2.7297494870841352
AMAT,TER,2.489585993914365,0.2407948085641256,2.7303808024784906
TEL,AMAT,2.173030530303121,0.5575422815424655,2.7305728118455868
FTNT,AVGO,2.45875407324991,0.2728613941271729,2.731615467377083
